ID;CLASS;X01;X02;X03;X04;X05;X06;X07;X08;X09;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;DATETIME_OPEN;DATETIME_CHECK
47;2;0;0;5;1;1;2;0;1;0;0;6;0;0;20;3;1;1;1;0;0;0;21;888;670;0;0;0;0;11;0;0;0;0;0;0;7925;25;3000;2425;159457;37559;4758;NULL;162643;12644;4758;NULL;4;0;1;1;0;0;NULL;5;0;NULL;NULL;NULL;NULL;NULL;"2014-09-26 00:00:00";"2016-07-27 09:53:19"
48;2;0;0;4;0;2;1;0;0;1;2;4;3;0;20;4;1;3;0;0;0;0;29;2406;126;0;0;0;0;6;0;0;0;0;0;1;6001;-11599;-4024;-4599;98228;366;270;93;98228;366;270;93;3;1;0;2;0;0;96;2;1;NULL;NULL;NULL;NULL;NULL;"2016-03-23 00:00:00";"2016-07-27 09:46:33"
49;2;35;2;13;2;0;0;2;5;3;2;4;6;25;97;42;4;0;0;2;12;22;17;2406;530;0;5;30;0;20;0;0;0;4;0;1;2475;-31544;-4487;-4271;1046256;49433;35;39131;1085185;9532;34;1309;4;2;0;0;1;1;10060;2;1;NULL;NULL;NULL;NULL;NULL;"2015-02-13 00:00:00";"2016-07-27 09:28:02"
52;2;0;0;6;1;0;3;2;0;0;1;8;0;0;19;2;2;0;0;0;0;0;17;888;11;0;0;0;0;10;0;0;0;0;0;0;7957;2;3572;3179;256187;16454;523;NULL;256187;16454;676;NULL;1;0;0;1;0;0;16428;6;0;NULL;NULL;NULL;NULL;NULL;"2016-07-15 00:00:00";"2016-07-26 23:15:28"
53;2;0;0;3;2;0;0;1;0;0;0;3;0;0;16;2;2;0;0;0;0;0;23;888;766;0;0;0;0;9;0;0;0;0;0;0;8032;32;3605;1932;263579;14306;NULL;NULL;263579;14306;NULL;NULL;1;0;0;1;0;0;NULL;3;0;NULL;NULL;NULL;NULL;NULL;"2014-06-21 00:00:00";"2016-07-26 23:15:28"
54;2;0;0;10;8;1;1;0;0;0;1;12;15;0;51;21;20;0;0;0;0;0;41;888;14;0;0;0;0;13;0;0;0;13;0;0;15500;-102500;-53326;-62500;105939;14835;681;4951;91359;14751;681;412;10;1;0;4;1;0;20486;10;5;NULL;NULL;NULL;NULL;NULL;"2016-07-12 00:00:00";"2016-07-26 22:00:15"
55;2;0;0;4;1;2;1;0;0;0;1;5;0;0;22;5;1;3;1;0;0;0;21;2648;181;0;0;0;0;8;0;0;0;0;0;1;7998;-6069;683;98;173135;12526;NULL;29;143302;9855;NULL;29;5;1;1;1;0;2;11475;4;0;NULL;NULL;NULL;NULL;NULL;"2016-01-27 00:00:00";"2016-07-26 21:30:04"
56;2;0;0;8;6;0;0;0;0;1;9;8;3;2;47;14;11;0;0;0;0;3;18;879;25;0;0;0;0;19;0;0;0;0;0;1;-4729;-28029;-18357;-20229;209266;24872;NULL;58419;184649;1551;NULL;155;3;0;0;2;1;0;2156;8;1;NULL;NULL;NULL;NULL;NULL;"2016-07-01 00:00:00";"2016-07-26 21:10:13"
59;2;0;0;6;2;0;1;3;0;0;1;8;1;0;15;3;3;0;0;0;0;0;17;879;61;0;0;0;0;6;0;0;0;6;0;0;8221;200;4252;4700;240603;25373;509;NULL;240603;19412;539;NULL;9;1;0;0;0;0;NULL;6;1;NULL;NULL;NULL;NULL;NULL;"2016-05-26 00:00:00";"2016-07-26 18:09:07"
60;2;0;0;5;2;1;0;0;2;0;1;7;1;0;15;3;3;0;0;0;0;0;17;879;42;0;0;0;0;8;0;0;0;6;0;0;8121;166;4904;7266;242718;25529;447;NULL;242718;24727;447;NULL;9;1;0;0;0;0;25128;5;1;NULL;NULL;NULL;NULL;NULL;"2016-06-14 00:00:00";"2016-07-26 17:20:17"
61;2;0;0;11;1;2;1;3;3;0;0;13;1;0;20;6;4;0;0;0;0;0;21;879;42;0;0;0;0;6;0;0;0;2;0;0;150150;-15600;12370;6800;131086;30379;6741;26;108855;32627;1009;26;14;1;6;0;0;0;NULL;11;1;NULL;NULL;NULL;NULL;NULL;"2016-06-14 00:00:00";"2016-07-26 16:25:33"
62;2;0;0;3;2;0;0;0;0;1;2;6;0;0;26;1;1;0;0;0;0;0;16;888;7;0;0;0;0;17;0;0;0;0;0;0;8001;1;5500;7000;237093;32;2004;NULL;237093;32;2004;NULL;7;0;0;1;6;0;4237;2;0;NULL;NULL;NULL;NULL;NULL;"2016-07-19 00:00:00";"2016-07-26 16:07:36"
63;2;0;0;6;3;0;3;0;0;0;2;8;1;0;16;3;3;0;0;0;0;0;17;879;57;0;0;0;0;7;0;0;0;6;0;0;8250;155;4442;4605;294961;27115;619;NULL;330377;24972;619;NULL;9;1;0;0;0;0;24995;6;1;NULL;NULL;NULL;NULL;NULL;"2016-05-30 00:00:00";"2016-07-26 15:45:13"
64;2;0;0;8;6;1;1;0;0;0;9;10;2;0;31;8;6;0;0;0;0;2;15;879;22;0;0;0;0;10;0;0;0;0;0;0;8200;10;3945;3060;182588;2012;450;97477;167239;706;450;97477;2;0;0;2;0;0;477;8;1;NULL;NULL;NULL;NULL;NULL;"2016-07-02 00:00:00";"2016-07-24 18:21:23"
66;2;0;0;7;7;0;0;0;0;0;0;9;0;0;26;8;8;0;0;0;0;0;24;1579;10;0;0;0;0;12;0;0;0;0;0;0;8000;-7910;2150;0;116650;833;NULL;38;102214;949;NULL;38;8;1;3;1;0;0;NULL;7;0;NULL;NULL;NULL;NULL;NULL;"2016-07-16 00:00:00";"2016-07-26 12:19:28"
67;2;0;0;7;7;0;0;0;0;0;1;9;7;0;37;10;10;0;0;0;0;0;51;888;22;0;0;0;0;17;0;0;0;18;0;0;8000;-24000;-5177;-8000;117459;18602;NULL;80;91701;14787;NULL;35;5;2;0;3;0;0;19805;7;5;NULL;NULL;NULL;NULL;NULL;"2016-07-04 00:00:00";"2016-07-26 10:56:56"
68;2;0;0;6;4;0;2;0;0;0;2;8;0;0;29;10;0;0;9;1;0;0;19;4804;54;0;0;0;0;14;0;0;0;0;0;0;8200;200;3675;3600;294525;1755;2159;46;278546;1640;2159;47;3;1;0;1;0;0;12152;6;0;NULL;NULL;NULL;NULL;NULL;"2016-06-02 00:00:00";"2016-07-26 10:33:57"
69;1;82;3;45;1;4;9;7;8;16;73;23;35;60;251;195;2;5;5;22;31;130;22;1142;326;0;5;71;6;34;1;0;35;5;0;2;1820;-43070;-19847;-19452;158843;57625;36780;33910;64298;13537;28;12310;2;0;0;1;0;0;NULL;19;11;-20;-20;NULL;NULL;-241;"2015-09-02 00:00:00";"2016-07-24 23:03:19"
70;2;2;1;17;6;0;6;5;0;0;1;17;4;0;54;24;6;2;10;4;0;2;33;4128;29;0;0;2;0;16;0;0;0;0;0;0;8106;-20894;-7901;-5894;95897;815;1121;27158;87009;130;1121;56;11;0;3;2;6;0;29789;17;1;NULL;NULL;NULL;NULL;NULL;"2016-06-27 00:00:00";"2016-07-26 10:15:17"
71;2;2;1;11;10;0;0;0;0;1;2;11;8;2;49;20;13;2;1;0;0;4;39;888;27;0;0;2;0;14;0;0;0;8;2;0;8100;-37035;-6936;-40;90353;22467;NULL;13126;76466;18220;NULL;2309;8;1;1;3;0;0;25394;11;3;NULL;NULL;NULL;NULL;NULL;"2016-06-29 00:00:00";"2016-07-26 09:36:36"
72;2;0;0;2;1;0;1;0;0;0;1;3;0;0;27;18;1;0;2;0;0;15;15;2648;335;0;0;0;0;7;0;0;0;0;0;0;4900;-6898;-1575;-1700;2911038;82557;NULL;351263;2911038;82557;NULL;346722;2;2;0;0;0;0;8474;2;0;NULL;NULL;NULL;NULL;NULL;"2015-08-26 00:00:00";"2016-07-26 09:28:53"
73;2;0;0;7;7;0;0;0;0;0;2;9;4;0;32;7;7;0;0;0;0;0;41;888;18;0;0;0;0;17;0;0;0;10;0;0;8000;0;4000;4000;111648;23595;NULL;NULL;119780;21653;NULL;NULL;14;6;0;1;1;3;18631;7;2;NULL;NULL;NULL;NULL;NULL;"2016-07-08 00:00:00";"2016-07-26 09:26:06"
74;2;0;0;21;17;0;0;1;0;0;1;23;6;0;58;13;6;0;0;0;0;2;40;888;18;0;0;0;0;16;0;0;0;15;0;0;40700;-15300;2757;700;90585;6269;3558;12568;91287;4759;605;156;3;2;0;1;0;0;19732;19;4;NULL;NULL;NULL;NULL;NULL;"2016-07-08 00:00:00";"2016-07-26 09:14:35"
76;2;0;0;10;6;0;0;0;1;3;6;9;4;0;52;9;7;0;0;0;2;0;21;879;10;0;0;0;0;10;0;0;0;0;0;4;8035;-8286;2849;36;113275;2241;764;5;101029;2499;26;5;3;0;1;2;0;0;1286;6;2;NULL;NULL;NULL;NULL;NULL;"2016-07-15 00:00:00";"2016-07-25 20:56:29"
77;2;9;2;15;7;2;3;2;0;1;14;14;2;4;62;28;8;0;1;3;1;15;15;879;62;0;1;8;0;20;0;0;0;2;0;1;15696;-279;3750;2250;140442;11342;35183;129163;152232;674;1088;83350;1;0;0;1;0;0;412;12;1;NULL;NULL;NULL;NULL;NULL;"2016-05-24 00:00:00";"2016-07-25 15:22:39"
78;2;0;0;1;1;0;0;0;0;0;2;5;0;0;15;1;1;0;0;0;0;0;25;119;49;0;0;0;0;11;0;0;0;0;0;0;7966;766;4366;4366;NULL;34746;NULL;NULL;NULL;34746;NULL;NULL;2;0;0;2;0;0;NULL;1;0;NULL;NULL;NULL;NULL;NULL;"2016-06-06 00:00:00";"2016-07-25 13:48:16"
79;2;0;0;8;5;1;1;1;0;0;2;10;0;0;36;8;6;1;1;0;0;0;23;1579;7;0;0;0;0;18;0;0;0;0;0;1;8000;-8000;-1819;-600;63676;329;NULL;145610;92530;261;NULL;145610;2;0;1;0;1;0;4317;7;0;NULL;NULL;NULL;NULL;NULL;"2016-07-18 00:00:00";"2016-07-25 13:09:10"
80;2;0;0;15;6;2;2;3;1;1;9;14;4;0;52;15;6;3;3;3;0;0;18;879;385;0;0;0;0;14;0;0;0;0;0;1;4001;-5999;-2546;-3449;711017;1637;137;15;155091;901;137;15;2;0;1;1;0;0;817;13;2;NULL;NULL;NULL;NULL;NULL;"2015-07-06 00:00:00";"2016-07-25 00:00:00"
81;1;139;2;80;1;9;6;11;21;14;25;73;48;88;515;232;3;12;35;25;56;68;26;1579;256;0;0;138;1;62;0;0;11;0;0;2;326735;-240146;-90901;-101726;70068;43118;94120;20710;29380;15331;47294;4566;7;1;0;1;0;2;NULL;31;11;NULL;NULL;NULL;NULL;-873;"2015-11-11 00:00:00";"2016-07-24 23:15:27"
82;2;3;1;28;16;3;8;0;0;1;24;29;0;3;147;33;19;1;8;0;0;5;25;1618;73;0;0;3;0;21;0;0;0;0;0;4;5957;-17423;-4778;-2453;222265;4648;2637;51960;159088;2758;485;64;4;1;2;1;0;0;116;27;0;NULL;NULL;NULL;NULL;NULL;"2016-05-12 00:00:00";"2016-07-24 20:09:13"
83;2;4;1;11;4;5;0;0;0;2;1;11;0;0;73;14;4;5;0;0;1;4;33;1618;31;0;0;4;0;22;0;0;0;0;0;0;8243;62;3189;443;104759;5613;4812;27818;96353;1677;4812;17031;14;5;1;1;2;0;NULL;9;0;NULL;NULL;NULL;NULL;NULL;"2016-06-23 00:00:00";"2016-07-24 18:13:50"
84;2;12;1;8;4;0;1;0;2;1;0;6;1;14;36;16;3;1;0;4;6;2;28;3600;24;0;0;12;0;11;0;0;0;4;0;0;8000;-3229;957;860;53083;4257;23917;26414;7252;1390;23917;28;4;0;0;4;0;0;20499;6;1;NULL;NULL;NULL;NULL;NULL;"2016-06-30 00:00:00";"2016-07-24 16:21:30"
85;2;0;0;2;0;1;1;0;0;0;1;3;0;0;23;2;0;1;1;0;0;0;18;2648;192;0;0;0;0;12;0;0;0;0;0;1;5900;200;2783;2517;12007573;547;NULL;NULL;12007573;547;NULL;NULL;7;1;0;6;0;0;3045;2;0;NULL;NULL;NULL;NULL;NULL;"2016-01-14 00:00:00";"2016-07-24 15:04:05"
86;2;184;2;107;5;3;20;21;13;45;33;24;51;96;393;262;5;1;32;25;47;152;19;879;316;0;0;112;72;50;2;0;4;10;0;3;4481;-57997;-9999;-3770;78406;15127;9555;40692;44031;1924;44;6503;1;0;0;1;0;0;230;26;18;-48;-47;NULL;NULL;-29;"2015-09-12 00:00:00";"2016-07-24 14:04:59"
87;1;152;2;40;3;7;1;11;1;14;26;25;19;47;286;216;3;3;3;10;28;162;22;879;318;0;0;149;3;64;1;0;10;0;0;4;6028;-79084;-17403;-11740;271904;7066;1045;26224;83998;1475;23;13341;1;1;0;0;0;0;227;13;4;-270;-270;NULL;NULL;-101;"2015-09-10 00:00:00";"2016-07-24 14:04:17"
90;2;0;0;12;2;1;7;0;1;1;9;14;0;2;49;9;4;2;3;0;0;0;17;879;32;0;0;0;0;14;0;0;0;0;0;0;8200;-13490;-3935;-5700;116674;1086;32049;21110;129902;987;279;21110;1;0;0;1;0;0;276;11;0;NULL;NULL;NULL;NULL;NULL;"2016-06-21 00:00:00";"2016-07-23 14:14:52"
92;2;0;0;2;2;0;0;0;0;0;3;4;0;0;14;5;2;0;0;1;0;2;41;4128;4;0;0;0;0;9;0;0;1;0;0;0;6030;-1970;352;-1885;86782;329;NULL;40486;86782;329;NULL;40486;7;2;0;2;2;1;5713;2;0;NULL;NULL;NULL;NULL;-85;"2016-07-19 00:00:00";"2016-07-23 13:38:42"
93;2;0;0;27;3;1;3;1;0;9;8;15;0;4;69;15;3;1;2;1;0;0;15;879;29;0;0;0;0;18;0;0;0;0;0;1;34045;1;15865;13020;74518;780;32524;NULL;9535;458;1460;NULL;1;0;0;1;0;0;205;17;0;NULL;NULL;NULL;NULL;NULL;"2016-06-24 00:00:00";"2016-07-23 12:15:36"
94;2;0;0;2;0;0;0;0;1;1;36;2;0;0;59;38;0;0;0;0;3;35;40;888;135;0;0;0;0;16;0;0;0;0;0;0;151;-2699;-1396;-1724;22129;237104;27;281521;22129;237104;27;259776;10;0;0;8;1;0;6571;0;0;NULL;NULL;NULL;NULL;NULL;"2016-03-10 00:00:00";"2016-07-23 11:03:29"
